"_time",host,"dpc_time","Interrupt_time","User_time","Processor_time","Privileged_time","Processor_Queue_Length","_timediff","alert_type","high_DPC_Time","high_DPC_time_with_processor_bottleneck_Processor_time","high_DPC_time_with_processor_bottleneck_dpc_time","high_interrupt_time","high_processor_queue","high_processor_usage","high_system_usage_Privileged_time","high_system_usage_Processor_time","processor_count","queue_to_processor"
1626264000,"WIN-VEQMG5BKEUT","0.20554657172605403","0.45365735729634515","8.449583198741859","18.895515204525818","10.445222559371409","6.647058823529412",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.6017699115044247"
1626264900,"WIN-VEQMG5BKEUT","0.04765770691762729","0.12983492786715284","1.5175365760785569","6.391694573839954","4.87245753605913","6.222222222222222",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.6428571428571428"
1626265800,"WIN-VEQMG5BKEUT","0.24283411601655153","0.2032227585962936","1.9628964124739352","7.2563703158875565","5.293098058906141","4.214285714285714",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.9491525423728814"
1626266700,"WIN-VEQMG5BKEUT","0.278616034057981","0.2454601339470668","2.560533809139239","9.341885246986756","6.779530478190082","9.333333333333334",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.4285714285714286"
1626267600,"WIN-VEQMG5BKEUT","0.22085312800719709","0.17288556039513606","2.3372190255563936","8.290043842612949","5.952963601536264","4.222222222222222",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.9473684210526315"
1626268500,"WIN-VEQMG5BKEUT","0.2807207318466092","0.2641238928089238","2.575523236522363","9.76237241551259","7.18601598908861","8.272727272727273",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.4835164835164835"
1626269400,"WIN-VEQMG5BKEUT","0.28876928872994345","0.1791939548277361","2.0647694363571194","8.497665877176729","6.430922127054024","8.333333333333334",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.4800000000000000"
1626270300,"WIN-VEQMG5BKEUT","0.48899899669471686","0.30255206085332303","3.287007339688254","10.976528395862738","7.688231034276949","7.1",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.56"
1626271200,"WIN-VEQMG5BKEUT","0.3488221966994901","0.23864762211239096","2.7249801227329216","10.194169042141674","7.469355727771197","7.555555555555555",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.5294117647058824"
1626272100,"WIN-VEQMG5BKEUT","0.19286065510273068","0.1879392981888247","2.19267775591507","8.808083524857762","6.615483417544247",12,,"High System Usage",20,80,15,20,5,80,1,1,5,"0.3333333333333333"
1626273000,"WIN-VEQMG5BKEUT","0.597974413084495","0.4614863141167153","4.7055567475818645","14.796576951975814","10.090973200067383","9.15",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.437"
1626273900,"WIN-VEQMG5BKEUT","0.36754024890288334","0.28545100315870026","2.8117568690362047","10.205225345821466","7.404274024779099","11.181818181818182",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.35772357723577236"
1626350400,"WIN-VEQMG5BKEUT","0.37376838472791857","1.3322611489725542","19.49041273169503","31.434777915732653","11.891327716675097",4,,"High System Usage",20,80,15,20,5,80,1,1,5,1
1626351300,"WIN-VEQMG5BKEUT","0.2190623928846376","0.6155165022187058","7.614677582843776","13.499327187599876","5.875428166015038",6,,"High System Usage",20,80,15,20,5,80,1,1,5,"0.6666666666666666"
1626352200,"WIN-VEQMG5BKEUT","0.17102481821633952","0.34161852185208397","2.8010062531602387","5.858070375410559","3.0590247383815607",6,,"High System Usage",20,80,15,20,5,80,1,1,5,"0.6666666666666666"
1626353100,"WIN-VEQMG5BKEUT","0.20663584569995488","0.40808281850425965","4.082102232417743","7.900226038961857","3.814733505599951","7.333333333333333",,"High System Usage",20,80,15,20,5,80,1,1,5,"0.5454545454545455"
